,,,,,"Measures","Weighted Sum of Income Distribution - Whole Population","Weighted Sum of Income Distribution - Whole Population - RSE","Weighted Sum of Income Distribution - Whole Population - Annotations",
"Financial Year","60 per cent of median net household income (BHC) in latest prices","60 per cent of median net household income (AHC) in latest prices","Housing Benefit (HB) received by the Family","Tenure Type of the Household of the Individual","Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method) (3ya)",
"2002-03 (cpi, r)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",417690,0.00,,
,,,,,"North West (E12000002)",1264610,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",863387,0.00,,
,,,,,"East Midlands (E12000004)",834414,0.00,,
,,,,,"West Midlands (E12000005)",948213,0.00,,
,,,,,"East (E12000006)",1045226,0.00,,
,,,,,"London (E12000007)",1192372,0.00,,
,,,,,"South East (E12000008)",1532482,0.00,,
,,,,,"South West (E12000009)",1041017,0.00,,
,,,,,"Wales (W92000004)",643433,0.00,,
,,,,,"Scotland (S92000003)",804321,0.00,,
,,,,,"Northern Ireland (N92000002)",339937,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",944253,0.00,,
,,,,,"North West (E12000002)",2871845,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",2038006,0.00,,
,,,,,"East Midlands (E12000004)",1766235,0.00,,
,,,,,"West Midlands (E12000005)",2226113,0.00,,
,,,,,"East (E12000006)",2508997,0.00,,
,,,,,"London (E12000007)",2512389,0.00,,
,,,,,"South East (E12000008)",3797582,0.00,,
,,,,,"South West (E12000009)",2056963,0.00,,
,,,,,"Wales (W92000004)",1147672,0.00,,
,,,,,"Scotland (S92000003)",2169407,0.00,,
,,,,,"Northern Ireland (N92000002)",746761,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",188356,0.00,,
,,,,,"North West (E12000002)",343891,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",316446,0.00,,
,,,,,"East Midlands (E12000004)",186952,0.00,,
,,,,,"West Midlands (E12000005)",198703,0.00,,
,,,,,"East (E12000006)",277399,0.00,,
,,,,,"London (E12000007)",533485,0.00,,
,,,,,"South East (E12000008)",379007,0.00,,
,,,,,"South West (E12000009)",205898,0.00,,
,,,,,"Wales (W92000004)",132921,0.00,,
,,,,,"Scotland (S92000003)",390198,0.00,,
,,,,,"Northern Ireland (N92000002)",61734,0.00,,
,,,,"All rented privately","North East (E12000001)",57842,0.00,,
,,,,,"North West (E12000002)",265116,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",260925,0.00,,
,,,,,"East Midlands (E12000004)",175377,0.00,,
,,,,,"West Midlands (E12000005)",234410,0.00,,
,,,,,"East (E12000006)",326595,0.00,,
,,,,,"London (E12000007)",767558,0.00,,
,,,,,"South East (E12000008)",487988,0.00,,
,,,,,"South West (E12000009)",323192,0.00,,
,,,,,"Wales (W92000004)",90566,0.00,,
,,,,,"Scotland (S92000003)",186496,0.00,,
,,,,,"Northern Ireland (N92000002)",66320,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1470,0.00,,
,,,,,"East Midlands (E12000004)",2455,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",1062,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1206,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",4822,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",962,0.00,,
,,,,,"South East (E12000008)",1316,0.00,,
,,,,,"South West (E12000009)",1386,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1520,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",158916,0.00,,
,,,,,"North West (E12000002)",251681,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",207177,0.00,,
,,,,,"East Midlands (E12000004)",139487,0.00,,
,,,,,"West Midlands (E12000005)",185906,0.00,,
,,,,,"East (E12000006)",132872,0.00,,
,,,,,"London (E12000007)",249894,0.00,,
,,,,,"South East (E12000008)",165370,0.00,,
,,,,,"South West (E12000009)",145692,0.00,,
,,,,,"Wales (W92000004)",118868,0.00,,
,,,,,"Scotland (S92000003)",231283,0.00,,
,,,,,"Northern Ireland (N92000002)",84132,0.00,,
,,,,"All rented privately","North East (E12000001)",14871,0.00,,
,,,,,"North West (E12000002)",56627,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",20989,0.00,,
,,,,,"East Midlands (E12000004)",13915,0.00,,
,,,,,"West Midlands (E12000005)",28242,0.00,,
,,,,,"East (E12000006)",17741,0.00,,
,,,,,"London (E12000007)",24527,0.00,,
,,,,,"South East (E12000008)",17941,0.00,,
,,,,,"South West (E12000009)",34292,0.00,,
,,,,,"Wales (W92000004)",7350,0.00,,
,,,,,"Scotland (S92000003)",14182,0.00,,
